Sat Feb  8 21:02:18 2020	 222.0	 0.00000	 4.41000	 6.71000	 -1.62000	 1.47000	 -4.06000	 -1.19000	2	
Sat Feb  8 21:02:18 2020	 223.0	 0.00000	 4.46000	 6.71000	 -1.80000	 1.93000	 -4.35000	 -1.56000	2	
Sat Feb  8 21:02:33 2020	 283.0	 0.00000	 1.46000	 -0.03000	 -8.48000	 2.62000	 -5.95000	 -1.97000	3	
Sat Feb  8 21:02:34 2020	 284.0	 0.00000	 1.38000	 0.03000	 -8.58000	 2.63000	 -4.31000	 -0.95000	3	
Sat Feb  8 21:02:34 2020	 285.0	 0.00000	 1.41000	 -0.02000	 -8.52000	 1.17000	 -7.54000	 -1.03000	3	
Sat Feb  8 21:02:34 2020	 286.0	 0.00000	 1.32000	 0.01000	 -8.56000	 2.41000	 -3.76000	 -1.15000	3	
Sat Feb  8 21:02:34 2020	 287.0	 0.00000	 1.39000	 -0.06000	 -8.54000	 1.09000	 -4.93000	 -1.63000	3	
Sat Feb  8 21:02:35 2020	 288.0	 0.00000	 1.08000	 -0.02000	 -8.27000	 0.54000	 -2.41000	 -2.33000	3	
Sat Feb  8 21:02:35 2020	 289.0	 0.00000	 1.30000	 -0.04000	 -8.38000	 -0.07000	 -6.56000	 -1.33000	3	
Sat Feb  8 21:02:35 2020	 290.0	 0.00000	 1.19000	 -0.08000	 -8.77000	 1.84000	 -5.77000	 -2.05000	3	
Sat Feb  8 21:02:35 2020	 291.0	 0.00000	 1.22000	 -0.15000	 -8.61000	 2.13000	 -7.05000	 -3.21000	3	
Sat Feb  8 21:02:36 2020	 292.0	 0.00000	 1.12000	 -0.08000	 -8.69000	 1.77000	 -5.20000	 -2.06000	3	
Sat Feb  8 21:02:36 2020	 293.0	 0.00000	 1.09000	 -0.14000	 -8.62000	 2.31000	 -2.36000	 -2.82000	3	
Sat Feb  8 21:02:36 2020	 294.0	 0.00000	 1.05000	 0.04000	 -8.61000	 1.21000	 -5.79000	 -0.56000	3	
Sat Feb  8 21:02:36 2020	 295.0	 0.00000	 1.11000	 -0.01000	 -8.69000	 2.17000	 -4.03000	 -1.72000	3	
Sat Feb  8 21:02:37 2020	 296.0	 0.00000	 1.11000	 -0.09000	 -8.60000	 1.71000	 -5.34000	 -0.78000	3	
Sat Feb  8 21:02:37 2020	 297.0	 0.00000	 1.12000	 -0.07000	 -8.62000	 1.60000	 -4.98000	 -0.68000	3	
Sat Feb  8 21:02:37 2020	 298.0	 0.00000	 1.04000	 -0.00000	 -8.40000	 -0.56000	 -4.21000	 -1.95000	3	
Sat Feb  8 21:02:37 2020	 299.0	 0.00000	 0.95000	 -0.04000	 -8.58000	 2.81000	 -3.95000	 -0.60000	3	
