Sat Mar 21 11:21:29 2020,	 167.0,	 0.00000,	 0.09000,	 -7.74000,	 1.60000,	 -2.82000,	 -3.73000,	 -1.02000,	1	
Sat Mar 21 11:21:29 2020,	 168.0,	 0.00000,	 -0.01000,	 -7.81000,	 1.53000,	 -2.30000,	 -4.49000,	 -1.23000,	1	
Sat Mar 21 11:21:30 2020,	 169.0,	 0.00000,	 0.14000,	 -7.72000,	 1.50000,	 -3.33000,	 -3.55000,	 -2.68000,	1	
Sat Mar 21 11:21:30 2020,	 170.0,	 0.00000,	 0.14000,	 -7.84000,	 1.52000,	 -2.28000,	 -4.74000,	 -0.82000,	1	
Sat Mar 21 11:21:31 2020,	 171.0,	 0.00000,	 0.23000,	 -7.74000,	 1.54000,	 -2.24000,	 -4.72000,	 -1.33000,	1	
Sat Mar 21 11:21:31 2020,	 172.0,	 0.00000,	 0.20000,	 -7.77000,	 1.67000,	 -1.27000,	 -8.26000,	 -4.37000,	1	
Sat Mar 21 11:21:32 2020,	 173.0,	 0.00000,	 0.24000,	 -7.85000,	 1.53000,	 -2.19000,	 -3.92000,	 -2.59000,	1	
Sat Mar 21 11:21:32 2020,	 174.0,	 0.00000,	 0.48000,	 -7.87000,	 1.62000,	 -0.69000,	 -6.34000,	 -3.19000,	1	
Sat Mar 21 11:21:32 2020,	 175.0,	 0.00000,	 0.43000,	 -7.70000,	 1.55000,	 -2.39000,	 -4.31000,	 -1.51000,	1	
Sat Mar 21 11:21:33 2020,	 176.0,	 0.00000,	 0.38000,	 -7.86000,	 1.57000,	 -1.49000,	 -3.92000,	 -1.82000,	1	
Sat Mar 21 11:21:33 2020,	 177.0,	 0.00000,	 0.46000,	 -7.75000,	 1.63000,	 -2.36000,	 -4.73000,	 -2.34000,	1	
Sat Mar 21 11:21:34 2020,	 178.0,	 0.00000,	 0.54000,	 -7.73000,	 1.76000,	 -0.96000,	 -4.54000,	 -4.68000,	1	
Sat Mar 21 11:21:34 2020,	 179.0,	 0.00000,	 0.66000,	 -7.68000,	 1.81000,	 -1.58000,	 -4.80000,	 -1.79000,	1	
Sat Mar 21 11:21:35 2020,	 180.0,	 0.00000,	 0.65000,	 -7.67000,	 1.72000,	 -2.19000,	 -4.78000,	 -1.41000,	1	
Sat Mar 21 11:21:35 2020,	 181.0,	 0.00000,	 0.63000,	 -7.68000,	 1.75000,	 -2.43000,	 -4.48000,	 -1.76000,	1	
Sat Mar 21 11:21:35 2020,	 182.0,	 0.00000,	 0.68000,	 -7.70000,	 1.79000,	 -2.34000,	 -4.27000,	 -1.02000,	1	
Sat Mar 21 11:21:36 2020,	 183.0,	 0.00000,	 0.69000,	 -7.69000,	 1.73000,	 -2.53000,	 -4.76000,	 -1.76000,	1	
