Thu Mar 19 15:01:41 2020,	 331.0,	 0.00000,	 8.22000,	 -0.71000,	 -1.46000,	 -2.21000,	 -4.19000,	 -1.74000,	0	
Thu Mar 19 15:01:41 2020,	 332.0,	 0.00000,	 8.11000,	 -0.75000,	 -1.40000,	 -1.90000,	 -5.09000,	 -1.24000,	0	
Thu Mar 19 15:01:41 2020,	 333.0,	 0.00000,	 8.03000,	 -0.63000,	 -1.52000,	 -2.18000,	 -3.84000,	 -1.26000,	0	
Thu Mar 19 15:01:42 2020,	 334.0,	 0.00000,	 8.02000,	 -0.50000,	 -1.68000,	 -2.07000,	 -5.01000,	 -1.86000,	0	
Thu Mar 19 15:01:42 2020,	 335.0,	 0.00000,	 8.04000,	 -0.55000,	 -1.57000,	 -1.74000,	 -5.25000,	 0.45000,	0	
Thu Mar 19 15:01:42 2020,	 336.0,	 0.00000,	 8.00000,	 -0.66000,	 -1.54000,	 -3.38000,	 -2.19000,	 2.87000,	0	
Thu Mar 19 15:01:42 2020,	 337.0,	 0.00000,	 8.16000,	 -0.70000,	 -1.42000,	 -2.37000,	 -5.60000,	 -0.73000,	0	
Thu Mar 19 15:01:42 2020,	 338.0,	 0.00000,	 8.16000,	 -0.57000,	 -1.47000,	 -3.76000,	 -6.16000,	 -2.66000,	0	
Thu Mar 19 15:01:43 2020,	 339.0,	 0.00000,	 8.05000,	 -0.58000,	 -1.49000,	 -1.09000,	 -5.38000,	 -1.36000,	0	
Thu Mar 19 15:01:43 2020,	 340.0,	 0.00000,	 8.12000,	 -0.60000,	 -1.55000,	 -2.18000,	 -4.56000,	 -1.98000,	0	
Thu Mar 19 15:01:43 2020,	 341.0,	 0.00000,	 8.09000,	 -0.66000,	 -1.53000,	 -1.85000,	 -4.34000,	 -1.02000,	0	
Thu Mar 19 15:01:43 2020,	 342.0,	 0.00000,	 8.09000,	 -0.68000,	 -1.59000,	 -1.34000,	 -6.46000,	 -3.79000,	0	
Thu Mar 19 15:01:44 2020,	 343.0,	 0.00000,	 8.08000,	 -0.62000,	 -1.61000,	 -2.27000,	 -2.84000,	 -0.07000,	0	
Thu Mar 19 15:01:44 2020,	 344.0,	 0.00000,	 7.97000,	 -0.56000,	 -1.75000,	 -2.11000,	 -1.59000,	 2.80000,	0	
Thu Mar 19 15:01:44 2020,	 345.0,	 0.00000,	 8.01000,	 -0.75000,	 -1.66000,	 -3.35000,	 -1.64000,	 2.23000,	0	
Thu Mar 19 15:01:44 2020,	 346.0,	 0.00000,	 8.13000,	 -0.80000,	 -1.36000,	 -2.08000,	 -6.81000,	 -6.29000,	0	
Thu Mar 19 15:01:44 2020,	 347.0,	 0.00000,	 8.06000,	 -0.65000,	 -1.50000,	 -3.08000,	 -4.44000,	 -6.35000,	0	
Thu Mar 19 15:01:45 2020,	 348.0,	 0.00000,	 8.06000,	 -0.63000,	 -1.50000,	 -2.48000,	 -2.19000,	 -2.47000,	0	
Thu Mar 19 15:01:45 2020,	 349.0,	 0.00000,	 8.13000,	 -0.33000,	 -1.48000,	 -2.63000,	 -4.44000,	 -2.53000,	0	
Thu Mar 19 15:01:45 2020,	 350.0,	 0.00000,	 8.14000,	 -0.39000,	 -1.41000,	 -2.05000,	 -5.39000,	 -2.96000,	0	
Thu Mar 19 15:01:45 2020,	 351.0,	 0.00000,	 8.12000,	 -0.38000,	 -1.53000,	 -1.74000,	 -3.92000,	 -0.76000,	0	
Thu Mar 19 15:01:46 2020,	 352.0,	 0.00000,	 8.08000,	 -0.35000,	 -1.53000,	 -2.02000,	 -4.51000,	 -1.58000,	0	
Thu Mar 19 15:01:46 2020,	 353.0,	 0.00000,	 8.08000,	 -0.46000,	 -1.54000,	 -1.69000,	 -5.10000,	 -0.34000,	0	
Thu Mar 19 15:01:46 2020,	 354.0,	 0.00000,	 8.15000,	 -0.22000,	 -1.61000,	 -1.47000,	 -4.82000,	 -1.76000,	0	
Thu Mar 19 15:01:46 2020,	 355.0,	 0.00000,	 8.17000,	 -0.52000,	 -1.47000,	 -2.44000,	 -5.22000,	 -2.05000,	0	
Thu Mar 19 15:01:46 2020,	 356.0,	 0.00000,	 7.89000,	 -0.14000,	 -1.73000,	 -1.05000,	 -0.86000,	 1.21000,	0	
Thu Mar 19 15:01:47 2020,	 357.0,	 0.00000,	 8.13000,	 -0.37000,	 -1.35000,	 -2.08000,	 -4.45000,	 -1.22000,	0	
Thu Mar 19 15:01:47 2020,	 358.0,	 0.00000,	 8.37000,	 -0.32000,	 -1.38000,	 -1.86000,	 -5.84000,	 -1.16000,	0	
Thu Mar 19 15:01:47 2020,	 359.0,	 0.00000,	 8.35000,	 -0.68000,	 -1.43000,	 -1.80000,	 -9.41000,	 -3.83000,	0	
Thu Mar 19 15:01:47 2020,	 360.0,	 0.00000,	 7.97000,	 -0.25000,	 -1.60000,	 0.92000,	 -8.24000,	 0.31000,	0	
Thu Mar 19 15:01:47 2020,	 361.0,	 0.00000,	 8.18000,	 -0.58000,	 -1.64000,	 -2.35000,	 -10.15000,	 -4.21000,	0	
Thu Mar 19 15:01:48 2020,	 362.0,	 0.00000,	 7.99000,	 -0.56000,	 -1.62000,	 -1.31000,	 -6.72000,	 -1.98000,	0	
Thu Mar 19 15:01:48 2020,	 363.0,	 0.00000,	 8.04000,	 -0.49000,	 -1.70000,	 -1.73000,	 -10.21000,	 -5.06000,	0	
Thu Mar 19 15:01:48 2020,	 364.0,	 0.00000,	 7.93000,	 -0.35000,	 -1.71000,	 -2.29000,	 -6.74000,	 -0.12000,	0	
Thu Mar 19 15:01:48 2020,	 365.0,	 0.00000,	 8.02000,	 -0.69000,	 -1.46000,	 -4.29000,	 -7.60000,	 -5.72000,	0	
Thu Mar 19 15:01:48 2020,	 366.0,	 0.00000,	 8.11000,	 -0.49000,	 -1.55000,	 -1.90000,	 -5.86000,	 -0.61000,	0	
Thu Mar 19 15:01:49 2020,	 367.0,	 0.00000,	 8.23000,	 -0.37000,	 -1.52000,	 -2.88000,	 -9.37000,	 -5.34000,	0	
Thu Mar 19 15:01:49 2020,	 368.0,	 0.00000,	 8.13000,	 -0.27000,	 -1.62000,	 -2.79000,	 -5.17000,	 -0.63000,	0	
Thu Mar 19 15:01:49 2020,	 369.0,	 0.00000,	 8.24000,	 -0.08000,	 -1.78000,	 -2.27000,	 -10.34000,	 -4.18000,	0	
Thu Mar 19 15:01:49 2020,	 370.0,	 0.00000,	 8.09000,	 -0.27000,	 -1.79000,	 -3.43000,	 -5.68000,	 0.09000,	0	
