Wed Mar 18 18:32:18 2020,	 87.0,	 0.00000,	 3.49000,	 -1.29000,	 -7.94000,	 -2.91000,	 -5.08000,	 -1.92000,	5	
Wed Mar 18 18:32:20 2020,	 88.0,	 0.00000,	 3.52000,	 -1.18000,	 -7.88000,	 -1.37000,	 -4.44000,	 -0.75000,	5	
Wed Mar 18 18:32:22 2020,	 89.0,	 0.00000,	 3.47000,	 -1.07000,	 -7.96000,	 -2.07000,	 -3.56000,	 -0.55000,	5	
Wed Mar 18 18:32:24 2020,	 90.0,	 0.00000,	 3.58000,	 -0.93000,	 -7.98000,	 -2.35000,	 -4.89000,	 -1.71000,	5	
Wed Mar 18 18:32:26 2020,	 91.0,	 0.00000,	 3.51000,	 -0.81000,	 -7.90000,	 -2.56000,	 -4.34000,	 -1.95000,	5	
Wed Mar 18 18:32:28 2020,	 92.0,	 0.00000,	 3.50000,	 -0.80000,	 -7.96000,	 -2.50000,	 -3.89000,	 -1.60000,	5	
Wed Mar 18 18:32:30 2020,	 93.0,	 0.00000,	 3.49000,	 -0.87000,	 -7.97000,	 -2.11000,	 -4.92000,	 -1.54000,	5	
Wed Mar 18 18:32:40 2020,	 98.0,	 0.00000,	 -2.78000,	 0.78000,	 7.01000,	 -2.82000,	 -4.04000,	 -1.37000,	6	
Wed Mar 18 18:32:42 2020,	 99.0,	 0.00000,	 -2.80000,	 0.94000,	 7.02000,	 -1.67000,	 -4.25000,	 -1.10000,	6	
Wed Mar 18 18:32:44 2020,	 100.0,	 0.00000,	 -2.83000,	 0.86000,	 6.79000,	 -1.48000,	 -4.36000,	 -2.85000,	6	
Wed Mar 18 18:32:46 2020,	 101.0,	 0.00000,	 -3.14000,	 0.61000,	 6.85000,	 -3.38000,	 -4.69000,	 -4.55000,	6	
Wed Mar 18 18:32:48 2020,	 102.0,	 0.00000,	 -3.20000,	 0.32000,	 6.69000,	 -1.98000,	 -3.82000,	 -1.56000,	6	
Wed Mar 18 18:32:50 2020,	 103.0,	 0.00000,	 -3.35000,	 0.34000,	 6.74000,	 -2.56000,	 -3.78000,	 -0.60000,	6	
Wed Mar 18 18:32:52 2020,	 104.0,	 0.00000,	 -3.45000,	 0.42000,	 6.71000,	 -2.82000,	 -3.34000,	 -1.53000,	6	
Wed Mar 18 18:32:54 2020,	 105.0,	 0.00000,	 -3.48000,	 0.31000,	 6.69000,	 -3.06000,	 -4.27000,	 -1.51000,	6	
Wed Mar 18 18:32:56 2020,	 106.0,	 0.00000,	 -3.50000,	 0.35000,	 6.66000,	 -2.58000,	 -4.40000,	 -1.95000,	6	
Wed Mar 18 18:32:58 2020,	 107.0,	 0.00000,	 -3.59000,	 0.33000,	 6.51000,	 -2.76000,	 -3.87000,	 -0.38000,	6	
Wed Mar 18 18:33:00 2020,	 108.0,	 0.00000,	 -3.56000,	 0.38000,	 6.68000,	 -2.34000,	 -3.44000,	 0.03000,	6	
