Fri Mar 20 22:41:35 2020,	 145.0,	 0.00000,	 8.12000,	 -0.27000,	 -0.07000,	 -2.25000,	 -5.19000,	 -1.43000,	0	
Fri Mar 20 22:41:35 2020,	 146.0,	 0.00000,	 8.15000,	 -0.21000,	 -0.18000,	 -2.18000,	 -4.53000,	 -0.95000,	0	
Fri Mar 20 22:41:35 2020,	 147.0,	 0.00000,	 8.12000,	 -0.22000,	 -0.21000,	 -1.85000,	 -4.47000,	 -1.24000,	0	
Fri Mar 20 22:41:36 2020,	 148.0,	 0.00000,	 8.09000,	 -0.27000,	 -0.18000,	 -1.96000,	 -5.34000,	 -1.24000,	0	
Fri Mar 20 22:41:36 2020,	 149.0,	 0.00000,	 8.15000,	 -0.25000,	 -0.21000,	 -2.26000,	 -4.77000,	 -1.38000,	0	
Fri Mar 20 22:41:36 2020,	 150.0,	 0.00000,	 8.12000,	 -0.27000,	 -0.21000,	 -2.41000,	 -4.38000,	 -1.18000,	0	
Fri Mar 20 22:41:36 2020,	 151.0,	 0.00000,	 8.13000,	 -0.29000,	 -0.12000,	 -1.81000,	 -3.88000,	 -0.99000,	0	
Fri Mar 20 22:41:36 2020,	 152.0,	 0.00000,	 8.26000,	 -0.30000,	 -0.06000,	 -2.86000,	 -4.65000,	 -1.31000,	0	
Fri Mar 20 22:41:37 2020,	 153.0,	 0.00000,	 8.12000,	 -0.23000,	 -0.18000,	 -2.47000,	 -4.27000,	 -1.40000,	0	
Fri Mar 20 22:41:37 2020,	 154.0,	 0.00000,	 8.15000,	 -0.23000,	 -0.13000,	 -2.46000,	 -4.28000,	 -1.60000,	0	
Fri Mar 20 22:41:37 2020,	 155.0,	 0.00000,	 8.15000,	 -0.23000,	 -0.02000,	 -2.24000,	 -4.05000,	 -1.26000,	0	
Fri Mar 20 22:41:37 2020,	 156.0,	 0.00000,	 8.28000,	 -0.12000,	 -0.04000,	 -2.11000,	 -1.40000,	 -3.15000,	0	
Fri Mar 20 22:41:38 2020,	 158.0,	 0.00000,	 8.20000,	 -0.19000,	 -0.07000,	 -2.70000,	 -3.92000,	 -1.07000,	0	
Fri Mar 20 22:41:38 2020,	 159.0,	 0.00000,	 8.02000,	 -0.24000,	 -0.14000,	 -2.61000,	 -4.56000,	 -0.87000,	0	
Fri Mar 20 22:41:38 2020,	 160.0,	 0.00000,	 8.13000,	 -0.28000,	 -0.06000,	 -2.66000,	 -4.12000,	 -1.34000,	0	
Fri Mar 20 22:41:38 2020,	 161.0,	 0.00000,	 8.05000,	 -0.14000,	 -0.29000,	 0.69000,	 -5.06000,	 1.04000,	0	
Fri Mar 20 22:41:39 2020,	 162.0,	 0.00000,	 8.19000,	 -0.22000,	 -0.18000,	 -2.44000,	 -4.45000,	 -0.92000,	0	
